#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
25698.86 5.6699e-05 1.3392e-01 6.0984e-01 2.5618e-01
26587.16 2.0438e-05 4.7471e-02 4.3836e-01 5.1415e-01
27637.54 3.4887e-05 1.1553e-01 5.2697e-01 3.5747e-01
28986.97 1.3397e-05 5.8862e-02 4.2248e-01 5.1865e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 1.0096e-02 8.4121e-01 1.4529e-01 3.4102e-03
1919.29 7.6267e-03 8.5634e-01 1.3313e-01 2.9015e-03
2581.60 6.9603e-03 7.9493e-01 1.9261e-01 5.5005e-03
3084.17 3.7838e-03 6.6901e-01 3.1580e-01 1.1410e-02
3472.46 1.8849e-03 5.5098e-01 4.2862e-01 1.8524e-02
3909.64 1.0232e-03 4.4328e-01 5.2624e-01 2.9454e-02
4148.46 1.3109e-03 4.5831e-01 5.1077e-01 2.9606e-02
4670.75 1.5082e-03 4.8563e-01 4.8475e-01 2.8117e-02
4956.05 8.3758e-04 3.9861e-01 5.6472e-01 3.5834e-02
5258.79 3.6003e-04 3.0726e-01 6.4622e-01 4.6157e-02
5580.02 1.4361e-04 2.4859e-01 6.9740e-01 5.3873e-02
5920.87 5.2822e-05 1.9065e-01 7.4892e-01 6.0376e-02
6282.54 3.5673e-05 1.6526e-01 7.6882e-01 6.5880e-02
6666.30 3.0304e-05 1.6158e-01 7.6791e-01 7.0473e-02
7073.50 3.0203e-05 1.5380e-01 7.7376e-01 7.2405e-02
7505.58 3.0341e-05 1.5799e-01 7.6405e-01 7.7922e-02
7964.05 3.6030e-05 1.5600e-01 7.6389e-01 8.0070e-02
8450.53 8.1194e-05 1.9071e-01 7.3327e-01 7.5941e-02
8966.72 1.6694e-04 2.3540e-01 6.9524e-01 6.9199e-02
9514.44 4.0382e-04 3.1110e-01 6.2689e-01 6.1602e-02
10095.62 7.6899e-04 3.9790e-01 5.5064e-01 5.0690e-02
10712.30 1.3004e-03 4.6648e-01 4.8986e-01 4.2354e-02
11366.65 1.6630e-03 5.3341e-01 4.2786e-01 3.7068e-02
12061.10 2.7211e-03 5.5425e-01 4.0659e-01 3.6440e-02
12793.43 2.5984e-03 5.4325e-01 4.1781e-01 3.6343e-02
13528.61 3.0363e-03 5.8576e-01 3.7727e-01 3.3934e-02
14194.74 2.5041e-03 5.4697e-01 4.1023e-01 4.0299e-02
14757.77 1.7344e-03 5.2331e-01 4.3036e-01 4.4600e-02
15240.48 3.1806e-03 5.6206e-01 4.0024e-01 3.4524e-02
15646.99 3.1389e-03 7.0744e-01 2.7361e-01 1.5812e-02
15960.30 6.6373e-03 7.7918e-01 2.0573e-01 8.4574e-03
16187.41 5.2741e-03 8.2089e-01 1.6862e-01 5.2107e-03
16354.17 4.7971e-03 8.1734e-01 1.7317e-01 4.6917e-03
16484.18 4.0042e-03 7.7766e-01 2.1179e-01 6.5432e-03
16593.12 2.2629e-03 7.7903e-01 2.1097e-01 7.7293e-03
16691.99 2.0699e-03 7.6469e-01 2.2418e-01 9.0610e-03
16788.59 1.7388e-03 7.5235e-01 2.3519e-01 1.0725e-02
16888.37 1.2126e-03 7.2989e-01 2.5815e-01 1.0752e-02
16998.79 1.2862e-03 7.2291e-01 2.6323e-01 1.2582e-02
17146.37 1.6630e-03 6.9502e-01 2.8842e-01 1.4891e-02
17415.23 8.1731e-04 6.2291e-01 3.5399e-01 2.2282e-02
17888.12 6.3405e-04 5.6849e-01 4.0307e-01 2.7810e-02
18532.37 5.1716e-04 5.4684e-01 4.1280e-01 3.9846e-02
19260.76 2.4402e-04 4.7155e-01 4.8006e-01 4.8141e-02
