#NTIMES:    67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    6.776932E+04   7.3201E-006   9.9992E-001   7.5755E-005   3.6030E-021   2.2373E-055   5.2214E-072   1.1623E-106   4.9871E-124
    6.895129E+04   6.3739E-006   9.9992E-001   6.9992E-005   3.0865E-021   2.3210E-055   5.0853E-072   1.3917E-106   5.5989E-124
    6.949055E+04   5.9531E-006   9.9993E-001   6.3224E-005   2.5139E-021   2.2164E-055   4.4138E-072   1.4324E-106   5.2722E-124
    6.976176E+04   5.7827E-006   9.9994E-001   5.7245E-005   2.0300E-021   2.0628E-055   3.6829E-072   1.3822E-106   4.5549E-124
    6.989776E+04   5.6865E-006   9.9994E-001   5.1701E-005   1.5913E-021   1.8895E-055   2.9377E-072   1.2914E-106   3.7064E-124
    6.996586E+04   5.6612E-006   9.9995E-001   4.7550E-005   1.2702E-021   1.7504E-055   2.3667E-072   1.2090E-106   3.0179E-124
    6.999823E+04   5.6615E-006   9.9995E-001   4.4630E-005   1.0545E-021   1.6495E-055   1.9755E-072   1.1464E-106   2.5351E-124
    6.999993E+04   5.6636E-006   9.9995E-001   4.4327E-005   1.0315E-021   1.6389E-055   1.9333E-072   1.1398E-106   2.4825E-124
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    8.484664E+02   2.0572E-037   4.0081E-029   3.6723E-022   8.8399E-016   2.0523E-010   7.1604E-006   1.3302E-002   9.8669E-001
    8.543246E+02   2.0572E-037   4.0081E-029   3.6723E-022   8.8399E-016   2.0523E-010   7.1604E-006   1.3302E-002   9.8669E-001
    8.721432E+02   2.0572E-037   4.0081E-029   3.6723E-022   8.8400E-016   2.0523E-010   7.1604E-006   1.3302E-002   9.8669E-001
    9.089031E+02   2.0574E-037   4.0083E-029   3.6725E-022   8.8403E-016   2.0524E-010   7.1606E-006   1.3302E-002   9.8669E-001
    9.682894E+02   2.0581E-037   4.0097E-029   3.6736E-022   8.8428E-016   2.0528E-010   7.1618E-006   1.3304E-002   9.8669E-001
    1.029084E+03   2.0631E-037   4.0188E-029   3.6814E-022   8.8592E-016   2.0561E-010   7.1702E-006   1.3312E-002   9.8668E-001
