#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    4.555005E+04   1.0000E-099   9.9946E-001   5.3635E-004   3.0473E-020   5.1934E-052
    4.678738E+04   1.0000E-099   9.9946E-001   5.4216E-004   3.2237E-020   5.8091E-052
    4.806468E+04   1.0000E-099   9.9943E-001   5.6565E-004   3.5395E-020   6.7665E-052
    4.937985E+04   1.0000E-099   9.9941E-001   5.8642E-004   3.8634E-020   7.8350E-052
    5.073002E+04   1.0000E-099   9.9941E-001   5.9220E-004   4.1025E-020   8.8159E-052
    5.211198E+04   1.0000E-099   9.9943E-001   5.7274E-004   4.1541E-020   9.4217E-052
    5.352349E+04   1.0000E-099   9.9947E-001   5.2802E-004   3.9739E-020   9.4259E-052
    5.496004E+04   1.0000E-099   9.9953E-001   4.6861E-004   3.6154E-020   8.8530E-052
    5.642085E+04   1.0000E-099   9.9960E-001   4.0203E-004   3.1379E-020   7.8199E-052
    5.789881E+04   1.0000E-099   9.9966E-001   3.3695E-004   2.6262E-020   6.5675E-052
    5.939226E+04   1.0000E-099   9.9972E-001   2.8026E-004   2.1572E-020   5.3469E-052
    6.088737E+04   1.0000E-099   9.9976E-001   2.3630E-004   1.7782E-020   4.3178E-052
    6.237825E+04   1.0000E-099   9.9980E-001   2.0372E-004   1.4841E-020   3.4876E-052
