#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cl0 cl1 cl2 cl3 cl4 
24052.47 9.66e-01 3.39e-02 5.17e-16 1.04e-33 7.04e-36 
24867.72 9.84e-01 1.62e-02 3.69e-17 6.77e-35 9.95e-36 
25698.86 9.92e-01 8.48e-03 4.42e-18 1.45e-33 1.45e-35 
26587.16 9.96e-01 4.39e-03 8.00e-19 9.34e-32 2.28e-35 
27637.54 9.98e-01 2.43e-03 6.10e-19 5.18e-30 4.17e-35 
28986.97 9.98e-01 1.76e-03 1.10e-20 3.29e-31 1.03e-34 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] cl0 cl1 cl2 cl3 cl4 
440.10 2.95e-18 1.63e-10 2.12e-04 1.09e-01 8.91e-01 
999.11 4.56e-20 3.00e-12 9.01e-06 2.21e-02 9.78e-01 
1267.34 1.50e-21 1.21e-13 6.99e-07 5.26e-03 9.95e-01 
1514.05 1.46e-22 1.36e-14 1.21e-07 1.99e-03 9.98e-01 
1808.80 1.80e-23 1.96e-15 2.59e-08 8.50e-04 9.99e-01 
1919.29 3.73e-24 4.30e-16 7.22e-09 3.80e-04 1.00e+00 
2160.92 7.29e-25 9.33e-17 2.13e-09 1.91e-04 1.00e+00 
2292.92 1.30e-25 1.72e-17 5.22e-10 7.68e-05 1.00e+00 
2432.98 6.74e-26 9.21e-18 3.13e-10 5.85e-05 1.00e+00 
2581.60 3.90e-26 5.74e-18 2.19e-10 4.87e-05 1.00e+00 
2739.29 3.33e-26 4.72e-18 1.80e-10 4.42e-05 1.00e+00 
2906.62 2.21e-26 3.34e-18 1.39e-10 3.87e-05 1.00e+00 
3084.17 1.51e-26 2.49e-18 1.14e-10 3.51e-05 1.00e+00 
3272.56 1.14e-26 1.98e-18 9.64e-11 3.24e-05 1.00e+00 
3472.46 9.23e-27 1.71e-18 8.81e-11 3.12e-05 1.00e+00 
3684.57 7.82e-27 1.54e-18 8.36e-11 3.07e-05 1.00e+00 
3909.64 5.62e-27 1.23e-18 7.24e-11 2.85e-05 1.00e+00 
4148.46 5.35e-27 1.24e-18 7.53e-11 2.93e-05 1.00e+00 
4401.86 8.32e-27 1.88e-18 1.05e-10 3.53e-05 1.00e+00 
4670.75 1.15e-26 2.61e-18 1.40e-10 4.17e-05 1.00e+00 
4956.05 1.12e-26 2.74e-18 1.52e-10 4.46e-05 1.00e+00 
5258.79 8.85e-27 2.45e-18 1.48e-10 4.49e-05 1.00e+00 
