#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
11784.05 1.4174e-01 8.1631e-01 4.1745e-02 2.1251e-04
11875.85 1.2636e-01 8.3294e-01 4.0497e-02 2.0011e-04
11963.37 1.0732e-01 8.4967e-01 4.2806e-02 2.1001e-04
12055.39 6.7032e-02 8.7964e-01 5.3030e-02 3.0140e-04
12170.41 9.9594e-02 8.3854e-01 6.1475e-02 3.8908e-04
12360.89 3.0881e-03 9.0634e-01 8.9997e-02 5.7965e-04
12670.46 4.3718e-04 8.7127e-01 1.2731e-01 9.8265e-04
13075.34 1.9757e-04 7.9290e-01 2.0500e-01 1.9015e-03
13530.52 1.6894e-04 7.4320e-01 2.5383e-01 2.8064e-03
14012.75 1.1767e-04 6.2538e-01 3.6966e-01 4.8373e-03
14508.81 8.2425e-05 5.2851e-01 4.6450e-01 6.9051e-03
15002.30 6.8119e-05 5.0250e-01 4.8949e-01 7.9449e-03
15475.29 9.2353e-05 6.0023e-01 3.9293e-01 6.7462e-03
15923.68 9.3949e-05 6.9721e-01 2.9733e-01 5.3681e-03
16355.64 4.1528e-05 3.1217e-01 6.7515e-01 1.2634e-02
16776.27 1.0022e-04 6.2346e-01 3.6950e-01 6.9446e-03
17183.14 1.2835e-04 7.9715e-01 1.9893e-01 3.7971e-03
17580.45 9.7244e-05 6.2392e-01 3.6942e-01 6.5625e-03
17990.34 1.4195e-04 7.7806e-01 2.1773e-01 4.0639e-03
18458.06 7.9897e-05 5.9687e-01 3.9435e-01 8.6924e-03
19084.69 4.0498e-05 2.4690e-01 7.3469e-01 1.8377e-02
19999.79 8.0112e-05 4.9763e-01 4.8474e-01 1.7550e-02
21193.46 1.8886e-05 1.3668e-01 8.1070e-01 5.2598e-02
22528.72 2.5947e-05 4.5752e-01 4.9131e-01 5.1143e-02
23943.32 6.0521e-06 1.3746e-01 7.5553e-01 1.0701e-01
25446.74 1.7126e-06 3.9282e-02 8.1793e-01 1.4278e-01
27044.57 6.4188e-07 2.1560e-02 7.6555e-01 2.1289e-01
28744.18 1.9316e-06 1.2112e-01 5.6604e-01 3.1284e-01
30520.16 3.7190e-07 2.4341e-02 3.1471e-01 6.6094e-01
32243.50 8.5384e-08 7.4739e-03 1.7833e-01 8.1420e-01
33773.01 8.0458e-08 1.1730e-02 2.4836e-01 7.3991e-01
35108.48 7.4028e-08 1.5873e-02 3.2137e-01 6.6276e-01
36326.30 3.5544e-08 9.0823e-03 2.5024e-01 7.4067e-01
37486.70 1.2361e-08 4.8014e-03 1.8877e-01 8.0643e-01
38628.25 5.9954e-09 2.6124e-03 1.4253e-01 8.5486e-01
39768.62 4.3209e-09 1.4892e-03 1.0768e-01 8.9084e-01
40915.31 2.0238e-09 8.9362e-04 8.4276e-02 9.1483e-01
42074.51 6.9101e-10 4.9136e-04 6.2956e-02 9.3655e-01
43252.44 2.0519e-10 2.6642e-04 4.6682e-02 9.5305e-01
44454.05 6.8391e-11 1.2121e-04 3.4432e-02 9.6545e-01
45683.04 4.2487e-12 1.2533e-05 2.5301e-02 9.7469e-01
46941.68 1.8724e-12 6.4815e-06 1.8527e-02 9.8147e-01
48230.81 1.1753e-12 6.0902e-06 1.3533e-02 9.8646e-01
49550.29 1.9098e-12 1.1802e-05 9.8820e-03 9.9011e-01
50899.37 9.1345e-13 6.3129e-06 7.2202e-03 9.9277e-01
52276.86 6.6454e-13 3.3904e-06 5.2834e-03 9.9471e-01
53681.16 2.5682e-13 1.8282e-06 3.8739e-03 9.9612e-01
55110.21 1.1601e-13 9.9136e-07 2.8463e-03 9.9715e-01
56561.17 5.4406e-14 5.4151e-07 2.1004e-03 9.9790e-01
58030.00 3.5241e-14 2.9872e-07 1.5568e-03 9.9844e-01
