#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
16888.37 1.11e-08 1.00e+00 9.64e-09 8.52e-27 2.34e-36 
16998.79 9.73e-09 1.00e+00 5.55e-09 2.23e-27 3.21e-36 
17146.37 1.07e-08 1.00e+00 1.33e-09 1.19e-28 4.71e-36 
17415.23 1.20e-08 1.00e+00 2.54e-10 1.17e-30 8.26e-36 
17888.12 1.44e-08 1.00e+00 7.10e-12 7.94e-31 2.24e-35 
18532.37 1.76e-08 1.00e+00 1.82e-13 1.86e-30 5.98e-35 
19260.76 2.22e-08 1.00e+00 2.37e-15 1.66e-30 1.20e-34 
20034.10 1.82e-08 1.00e+00 5.39e-17 1.81e-30 1.40e-34 
20838.00 1.53e-08 1.00e+00 2.17e-18 2.51e-31 9.50e-35 
21647.97 1.66e-08 1.00e+00 1.46e-19 2.38e-31 6.14e-35 
22447.94 1.97e-08 1.00e+00 1.50e-20 1.57e-30 5.94e-35 
23245.88 2.25e-08 1.00e+00 1.42e-20 1.33e-29 7.43e-35 
24052.47 2.22e-08 1.00e+00 1.71e-21 3.77e-31 1.02e-34 
24867.72 2.75e-08 1.00e+00 4.61e-24 2.10e-34 1.45e-34 
25698.86 2.85e-08 1.00e+00 2.53e-25 6.61e-33 2.12e-34 
26587.16 2.74e-08 1.00e+00 4.43e-25 6.30e-30 3.30e-34 
27637.54 2.52e-08 1.00e+00 3.52e-26 8.23e-34 5.81e-34 
28986.97 1.54e-08 1.00e+00 3.45e-26 1.80e-33 1.28e-33 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 8.97e-18 5.42e-10 6.62e-04 4.46e-01 5.54e-01 
999.11 9.05e-20 5.34e-12 2.39e-05 1.06e-01 8.94e-01 
1267.34 1.84e-21 1.17e-13 1.31e-06 2.28e-02 9.77e-01 
1514.05 1.30e-22 7.97e-15 1.68e-07 7.75e-03 9.92e-01 
1808.80 1.22e-23 7.96e-16 2.89e-08 3.11e-03 9.97e-01 
1919.29 1.93e-24 1.27e-16 6.56e-09 1.26e-03 9.99e-01 
2160.92 3.12e-25 2.38e-17 1.80e-09 6.46e-04 9.99e-01 
2292.92 4.09e-26 3.32e-18 3.58e-10 2.14e-04 1.00e+00 
2432.98 1.60e-26 1.62e-18 2.03e-10 1.63e-04 1.00e+00 
2581.60 8.98e-27 9.80e-19 1.39e-10 1.37e-04 1.00e+00 
2739.29 5.45e-27 7.70e-19 1.12e-10 1.26e-04 1.00e+00 
2906.62 3.57e-27 5.34e-19 8.52e-11 1.11e-04 1.00e+00 
3084.17 2.55e-27 4.11e-19 7.08e-11 1.02e-04 1.00e+00 
3272.56 1.78e-27 3.37e-19 6.10e-11 9.54e-05 1.00e+00 
3472.46 1.41e-27 3.08e-19 5.76e-11 9.32e-05 1.00e+00 
3684.57 1.19e-27 3.00e-19 5.69e-11 9.25e-05 1.00e+00 
3909.64 8.57e-28 2.59e-19 5.15e-11 8.67e-05 1.00e+00 
4148.46 8.78e-28 2.85e-19 5.65e-11 9.03e-05 1.00e+00 
4401.86 1.54e-27 4.72e-19 8.37e-11 1.12e-04 1.00e+00 
4670.75 2.41e-27 7.14e-19 1.17e-10 1.35e-04 1.00e+00 
4956.05 2.45e-27 8.16e-19 1.35e-10 1.49e-04 1.00e+00 
5258.79 2.18e-27 7.85e-19 1.38e-10 1.54e-04 1.00e+00 
5580.02 2.68e-27 1.01e-18 1.73e-10 1.76e-04 1.00e+00 
5920.87 3.46e-27 1.39e-18 2.27e-10 2.08e-04 1.00e+00 
6282.54 4.67e-27 1.92e-18 3.02e-10 2.46e-04 1.00e+00 
6666.30 7.74e-27 3.29e-18 4.63e-10 3.12e-04 1.00e+00 
7073.50 1.43e-26 6.01e-18 7.47e-10 3.95e-04 1.00e+00 
