#NTIMES: 50
#NSTAGES 2
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 115
#vel_mid[km/s] mg0 mg1
23943.32 1.1241e-04 9.9989e-01
25446.74 8.6597e-05 9.9991e-01
27044.57 4.5043e-05 9.9995e-01
28744.18 2.4941e-05 9.9998e-01
30520.16 1.4434e-05 9.9999e-01
32243.50 9.8455e-06 9.9999e-01
33773.01 5.6428e-06 9.9999e-01
35108.48 3.5664e-06 1.0000e+00
36326.30 2.5724e-06 1.0000e+00
37486.70 1.4512e-06 1.0000e+00
38628.25 9.4301e-07 1.0000e+00
39768.62 6.0706e-07 1.0000e+00
40915.31 3.9550e-07 1.0000e+00
42074.51 2.9361e-07 1.0000e+00
43252.44 3.0174e-07 1.0000e+00
44454.05 2.4558e-07 1.0000e+00
45683.04 1.5261e-07 1.0000e+00
46941.68 1.4195e-07 1.0000e+00
48230.81 8.7849e-08 1.0000e+00
49550.29 7.6411e-08 1.0000e+00
50899.37 4.9905e-08 1.0000e+00
52276.86 4.0376e-08 1.0000e+00
53681.16 3.0613e-08 1.0000e+00
55110.21 2.2376e-08 1.0000e+00
56561.17 1.8686e-08 1.0000e+00
58030.00 1.6984e-08 1.0000e+00
59510.42 1.4032e-08 1.0000e+00
60993.45 1.3291e-08 1.0000e+00
62466.44 1.1005e-08 1.0000e+00
63912.69 8.9826e-09 1.0000e+00
65311.62 9.7491e-09 1.0000e+00
66639.26 1.3652e-08 1.0000e+00
67870.77 1.0460e-08 1.0000e+00
68864.47 7.1602e-09 1.0000e+00
69459.55 7.0261e-09 1.0000e+00
69744.99 1.2137e-08 1.0000e+00
69888.26 1.3123e-08 1.0000e+00
69959.62 1.3667e-08 1.0000e+00
69991.15 1.3552e-08 1.0000e+00
69999.53 1.3551e-08 1.0000e+00
#TIME: 210.86
#NVEL 115
#vel_mid[km/s] mg0 mg1
425.78 3.4185e-02 9.6582e-01
857.79 2.2038e-02 9.7796e-01
878.44 2.1954e-02 9.7805e-01
917.72 2.7446e-02 9.7255e-01
973.04 4.0794e-02 9.5921e-01
1034.98 1.7553e-02 9.8245e-01
1099.97 1.4222e-02 9.8578e-01
1169.04 2.3839e-02 9.7616e-01
1242.44 4.5114e-02 9.5489e-01
1320.45 1.9411e-02 9.8059e-01
1403.37 2.6618e-02 9.7338e-01
1491.49 3.3827e-02 9.6617e-01
1585.14 4.6132e-02 9.5387e-01
1684.67 4.3368e-02 9.5663e-01
1790.45 2.4885e-02 9.7511e-01
1902.87 3.0392e-02 9.6961e-01
2022.36 1.6548e-02 9.8345e-01
2149.34 6.2627e-03 9.9374e-01
2284.30 4.0345e-03 9.9597e-01
2427.74 3.3010e-03 9.9670e-01
2580.18 2.7663e-03 9.9723e-01
2742.19 2.5200e-03 9.9748e-01
2914.37 2.5460e-03 9.9745e-01
3097.37 3.1737e-03 9.9683e-01
3291.85 3.3793e-03 9.9662e-01
3498.55 5.2218e-03 9.9478e-01
3718.23 4.5542e-02 9.5446e-01
3951.70 1.5310e-01 8.4690e-01
4199.83 1.0809e-01 8.9191e-01
4463.54 1.1830e-01 8.8170e-01
4743.81 1.4611e-01 8.5389e-01
5041.68 1.7556e-01 8.2444e-01
5358.25 2.0170e-01 7.9830e-01
5694.70 2.2322e-01 7.7678e-01
6052.28 2.4977e-01 7.5023e-01
6432.31 2.7412e-01 7.2588e-01
6836.20 3.1569e-01 6.8431e-01
7265.45 3.3074e-01 6.6926e-01
7721.65 3.3861e-01 6.6139e-01
8206.56 3.6224e-01 6.3776e-01
8717.73 3.8808e-01 6.1192e-01
9214.74 4.2608e-01 5.7392e-01
9629.11 4.5304e-01 5.4696e-01
9954.11 4.8527e-01 5.1473e-01
10245.64 4.8695e-01 5.1305e-01
10541.49 4.7817e-01 5.2183e-01
10839.94 5.1769e-01 4.8231e-01
11119.11 5.3417e-01 4.6583e-01
11355.83 5.4509e-01 4.5491e-01
11539.81 6.1346e-01 3.8654e-01
11677.16 6.3179e-01 3.6821e-01
11784.05 6.5716e-01 3.4284e-01
11875.85 6.6707e-01 3.3293e-01
11963.37 6.4877e-01 3.5123e-01
