#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    6.899777E+04   1.0000E-099   1.0000E+000   2.1307E-010   6.9063E-032   2.1327E-061
    6.951321E+04   1.0000E-099   1.0000E+000   1.8369E-010   5.2602E-032   1.9531E-061
    6.977237E+04   1.0000E-099   1.0000E+000   1.5997E-010   4.0340E-032   1.7536E-061
    6.990232E+04   1.0000E-099   1.0000E+000   1.3853E-010   3.0386E-032   1.5431E-061
    6.996738E+04   1.0000E-099   1.0000E+000   1.2235E-010   2.3733E-032   1.3742E-061
    6.999830E+04   1.0000E-099   1.0000E+000   1.1085E-010   1.9525E-032   1.2510E-061
    6.999993E+04   1.0000E-099   1.0000E+000   1.0963E-010   1.9100E-032   1.2378E-061
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    8.484664E+02   1.0000E-099   7.1129E-018   2.0047E-011   2.6576E-005   9.9997E-001
    8.528610E+02   1.0000E-099   7.1129E-018   2.0047E-011   2.6576E-005   9.9997E-001
    8.661820E+02   1.0000E-099   7.1129E-018   2.0047E-011   2.6576E-005   9.9997E-001
    8.934513E+02   1.0000E-099   7.1132E-018   2.0047E-011   2.6576E-005   9.9997E-001
    9.472405E+02   1.0000E-099   7.1143E-018   2.0050E-011   2.6578E-005   9.9997E-001
    1.007109E+03   1.0000E-099   7.1180E-018   2.0057E-011   2.6583E-005   9.9997E-001
    1.070759E+03   1.0000E-099   7.1185E-018   2.0061E-011   2.6585E-005   9.9997E-001
    1.138432E+03   1.0000E-099   7.0489E-018   1.9928E-011   2.6497E-005   9.9997E-001
    1.210381E+03   1.0000E-099   6.7394E-018   1.9279E-011   2.6063E-005   9.9997E-001
    1.286878E+03   1.0000E-099   5.4685E-018   1.6443E-011   2.4084E-005   9.9998E-001
    1.368209E+03   1.0000E-099   2.4668E-018   9.0982E-012   1.8015E-005   9.9998E-001
