#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    1.454681E+03   1.0000E-099   9.6065E-014   4.8256E-006   1.0000E+000
    1.546618E+03   1.0000E-099   8.2042E-014   4.6399E-006   1.0000E+000
    1.644365E+03   1.0000E-099   6.7066E-014   4.3949E-006   1.0000E+000
    1.748290E+03   1.0000E-099   4.9256E-014   4.0312E-006   1.0000E+000
    1.858783E+03   1.0000E-099   3.5700E-014   3.5998E-006   1.0000E+000
    1.976259E+03   1.0000E-099   2.6250E-014   3.2670E-006   1.0000E+000
    2.101160E+03   1.0000E-099   1.8875E-014   2.9153E-006   1.0000E+000
    2.233954E+03   1.0000E-099   1.3460E-014   2.6015E-006   1.0000E+000
    2.375142E+03   1.0000E-099   9.7023E-015   2.3159E-006   1.0000E+000
    2.525252E+03   1.0000E-099   7.4015E-015   2.0916E-006   1.0000E+000
    2.684850E+03   1.0000E-099   6.0468E-015   1.9214E-006   1.0000E+000
    2.854534E+03   1.0000E-099   5.3807E-015   1.7996E-006   1.0000E+000
    3.034942E+03   1.0000E-099   5.1245E-015   1.6990E-006   1.0000E+000
    3.226752E+03   1.0000E-099   5.9213E-015   1.7118E-006   1.0000E+000
    3.430685E+03   1.0000E-099   6.6432E-015   1.5791E-006   1.0000E+000
    3.647506E+03   1.0000E-099   1.4939E-014   2.0706E-006   1.0000E+000
    3.878031E+03   1.0000E-099   3.4148E-014   3.0212E-006   1.0000E+000
    4.123125E+03   1.0000E-099   3.8000E-014   2.3798E-006   1.0000E+000
    4.383709E+03   1.0000E-099   6.0914E-014   2.3895E-006   1.0000E+000
    4.660762E+03   1.0000E-099   6.3932E-014   2.3140E-006   1.0000E+000
    4.955325E+03   1.0000E-099   5.5415E-014   2.1602E-006   1.0000E+000
    5.268505E+03   1.0000E-099   4.5081E-014   1.9877E-006   1.0000E+000
    5.601477E+03   1.0000E-099   3.8704E-014   1.8398E-006   1.0000E+000
    5.955494E+03   1.0000E-099   3.6261E-014   1.7682E-006   1.0000E+000
    6.331885E+03   1.0000E-099   3.8196E-014   1.7541E-006   1.0000E+000
    6.732064E+03   1.0000E-099   4.2724E-014   1.7508E-006   1.0000E+000
    7.157534E+03   1.0000E-099   5.1721E-014   1.8185E-006   1.0000E+000
    7.609895E+03   1.0000E-099   6.5489E-014   1.9100E-006   1.0000E+000
    8.090845E+03   1.0000E-099   9.4927E-014   2.1334E-006   1.0000E+000
    8.602191E+03   1.0000E-099   1.9311E-013   2.6601E-006   1.0000E+000
    9.145855E+03   1.0000E-099   1.4329E-012   6.2480E-006   9.9999E-001
    9.716757E+03   1.0000E-099   8.7370E-011   5.9703E-005   9.9994E-001
    1.017136E+04   1.0000E-099   1.1816E-008   1.3095E-003   9.9869E-001
    1.058976E+04   1.0000E-099   6.9726E-006   7.0697E-002   9.2930E-001
    1.103681E+04   1.0000E-099   9.5672E-003   9.8124E-001   9.1964E-003
