#NTIMES:    67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    2.271289E+03   1.0000E-099   8.6868E-039   4.5185E-031   2.3493E-023   1.5031E-016   2.9222E-010   8.3229E-005   9.9992E-001
    2.413905E+03   1.0000E-099   1.3039E-039   8.0213E-032   5.2950E-024   4.4431E-017   1.2297E-010   5.2788E-005   9.9995E-001
    2.565477E+03   1.0000E-099   3.3040E-040   2.3131E-032   1.8229E-024   1.8669E-017   6.6672E-011   3.8358E-005   9.9996E-001
    2.726565E+03   1.0000E-099   1.4923E-040   1.1483E-032   1.0131E-024   1.1714E-017   4.8250E-011   3.2480E-005   9.9997E-001
    2.897769E+03   1.0000E-099   1.4189E-040   1.1476E-032   1.0431E-024   1.2311E-017   5.0570E-011   3.3421E-005   9.9997E-001
    3.079722E+03   1.0000E-099   3.0815E-040   2.5080E-032   2.1492E-024   2.3209E-017   8.0871E-011   4.3053E-005   9.9996E-001
    3.273101E+03   1.0000E-099   2.4415E-039   1.8063E-031   1.2495E-023   1.0318E-016   2.3973E-010   7.7218E-005   9.9992E-001
    3.478622E+03   1.0000E-099   1.4825E-037   9.4911E-030   4.4198E-022   2.1928E-015   2.2958E-009   2.6657E-004   9.9973E-001
    3.697048E+03   1.0000E-099   1.8821E-035   8.0246E-028   2.0765E-020   5.2694E-014   2.2899E-008   9.2266E-004   9.9908E-001
    3.929188E+03   1.0000E-099   1.8991E-034   5.6712E-027   1.0145E-019   1.7691E-013   5.2038E-008   1.4002E-003   9.9860E-001
    4.175906E+03   1.0000E-099   2.9285E-030   7.5612E-023   6.2910E-016   3.7305E-010   1.7455E-005   3.5978E-002   9.6400E-001
    4.438115E+03   1.0000E-099   3.2670E-028   7.1743E-021   3.9472E-014   1.3286E-008   2.5188E-004   1.4995E-001   8.4980E-001
    4.716788E+03   1.0000E-099   6.3296E-028   1.4204E-020   7.5741E-014   2.3861E-008   3.9348E-004   1.8926E-001   8.1035E-001
    5.012959E+03   1.0000E-099   2.2597E-028   5.6268E-021   3.4253E-014   1.2553E-008   2.5051E-004   1.5172E-001   8.4803E-001
    5.327727E+03   1.0000E-099   7.1008E-029   1.9691E-021   1.3825E-014   5.9787E-009   1.4775E-004   1.1633E-001   8.8352E-001
    5.662260E+03   1.0000E-099   5.2030E-029   1.5470E-021   1.1569E-014   5.3066E-009   1.3784E-004   1.1304E-001   8.8682E-001
    6.017798E+03   1.0000E-099   5.4632E-029   1.6673E-021   1.2628E-014   5.8155E-009   1.4890E-004   1.1814E-001   8.8171E-001
    6.395661E+03   1.0000E-099   1.7616E-028   5.1945E-021   3.5647E-014   1.4251E-008   2.8972E-004   1.6684E-001   8.3287E-001
    6.797251E+03   1.0000E-099   1.1509E-027   3.1900E-020   1.8579E-013   5.8710E-008   8.1665E-004   2.7829E-001   7.2089E-001
    7.224056E+03   1.0000E-099   8.1882E-027   2.0620E-019   9.8843E-013   2.3897E-007   2.2057E-003   4.3217E-001   5.6562E-001
    7.677661E+03   1.0000E-099   8.5631E-026   1.9194E-018   7.2151E-012   1.2381E-006   6.7345E-003   6.4483E-001   3.4844E-001
