#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
1.800381E+04 1.000000E-99 8.019882E+03 7.575593E+03 8.196428E+03
1.805373E+04 1.000000E-99 8.016463E+03 7.570055E+03 8.196299E+03
1.810364E+04 1.000000E-99 8.012552E+03 7.565977E+03 8.191854E+03
1.815356E+04 1.000000E-99 8.009766E+03 7.561831E+03 8.187549E+03
1.820347E+04 1.000000E-99 8.008811E+03 7.558443E+03 8.185874E+03
1.825339E+04 1.000000E-99 8.005441E+03 7.553231E+03 8.179913E+03
1.830331E+04 1.000000E-99 8.001648E+03 7.550940E+03 8.175072E+03
1.835322E+04 1.000000E-99 7.999762E+03 7.552006E+03 8.177847E+03
1.840314E+04 1.000000E-99 7.997772E+03 7.549588E+03 8.178295E+03
1.845305E+04 1.000000E-99 7.993230E+03 7.544786E+03 8.178681E+03
1.850297E+04 1.000000E-99 7.987306E+03 7.544644E+03 8.180014E+03
1.855288E+04 1.000000E-99 7.982145E+03 7.545532E+03 8.178180E+03
1.860280E+04 1.000000E-99 7.977139E+03 7.543574E+03 8.175166E+03
1.865271E+04 1.000000E-99 7.975638E+03 7.540893E+03 8.167962E+03
1.870263E+04 1.000000E-99 7.973131E+03 7.540538E+03 8.162193E+03
1.875254E+04 1.000000E-99 7.969109E+03 7.539433E+03 8.155882E+03
1.880246E+04 1.000000E-99 7.965852E+03 7.534768E+03 8.148007E+03
1.885237E+04 1.000000E-99 7.960474E+03 7.531366E+03 8.145339E+03
1.890229E+04 1.000000E-99 7.957717E+03 7.531526E+03 8.143664E+03
1.895220E+04 1.000000E-99 7.954400E+03 7.529316E+03 8.140511E+03
1.900212E+04 1.000000E-99 7.952758E+03 7.526322E+03 8.138539E+03
1.905203E+04 1.000000E-99 7.951179E+03 7.522004E+03 8.137439E+03
1.910195E+04 1.000000E-99 7.947872E+03 7.519407E+03 8.136522E+03
1.915186E+04 1.000000E-99 7.947562E+03 7.518525E+03 8.136468E+03
1.920178E+04 1.000000E-99 7.944153E+03 7.516327E+03 8.135954E+03
1.925169E+04 1.000000E-99 7.938081E+03 7.513167E+03 8.132015E+03
1.930161E+04 1.000000E-99 7.933697E+03 7.507394E+03 8.128820E+03
1.935153E+04 1.000000E-99 7.931951E+03 7.505469E+03 8.127610E+03
1.940144E+04 1.000000E-99 7.927663E+03 7.504391E+03 8.127821E+03
1.945136E+04 1.000000E-99 7.923085E+03 7.500731E+03 8.128208E+03
1.950127E+04 1.000000E-99 7.923962E+03 7.497151E+03 8.122954E+03
1.955119E+04 1.000000E-99 7.921909E+03 7.492874E+03 8.121475E+03
1.960110E+04 1.000000E-99 7.914164E+03 7.491560E+03 8.122517E+03
1.965102E+04 1.000000E-99 7.908261E+03 7.491682E+03 8.118480E+03
1.970093E+04 1.000000E-99 7.905547E+03 7.487160E+03 8.116025E+03
1.975085E+04 1.000000E-99 7.904105E+03 7.482131E+03 8.110717E+03
1.980076E+04 1.000000E-99 7.903772E+03 7.478896E+03 8.105110E+03
1.985068E+04 1.000000E-99 7.899545E+03 7.475266E+03 8.102858E+03
1.990059E+04 1.000000E-99 7.894657E+03 7.474814E+03 8.102411E+03
1.995051E+04 1.000000E-99 7.892728E+03 7.476793E+03 8.100154E+03
2.000042E+04 1.000000E-99 7.890900E+03 7.477973E+03 8.096850E+03
2.005034E+04 1.000000E-99 7.888303E+03 7.474933E+03 8.096237E+03
2.010025E+04 1.000000E-99 7.885623E+03 7.469965E+03 8.094637E+03
2.015017E+04 1.000000E-99 7.883910E+03 7.466592E+03 8.091409E+03
2.020008E+04 1.000000E-99 7.882248E+03 7.464095E+03 8.085877E+03
2.025000E+04 1.000000E-99 7.881229E+03 7.463780E+03 8.082871E+03
2.029992E+04 1.000000E-99 7.878704E+03 7.462049E+03 8.083086E+03
2.034983E+04 1.000000E-99 7.875020E+03 7.458897E+03 8.082460E+03
2.039975E+04 1.000000E-99 7.873197E+03 7.454926E+03 8.079173E+03
2.044966E+04 1.000000E-99 7.870505E+03 7.451963E+03 8.076124E+03
2.049958E+04 1.000000E-99 7.869229E+03 7.450618E+03 8.076633E+03
2.054949E+04 8.032518E+03 7.868513E+03 7.446425E+03 8.075707E+03
2.059941E+04 8.030957E+03 7.863702E+03 7.443677E+03 8.071797E+03
2.064932E+04 8.029804E+03 7.857113E+03 7.446025E+03 8.069100E+03
2.069924E+04 8.025693E+03 7.852801E+03 7.447398E+03 8.067808E+03
2.074915E+04 8.021965E+03 7.850634E+03 7.445069E+03 8.068400E+03
2.079907E+04 8.019429E+03 7.848580E+03 7.442819E+03 8.068123E+03
2.084898E+04 8.017100E+03 7.846273E+03 7.441292E+03 8.065228E+03
2.089890E+04 8.014206E+03 7.842263E+03 7.440362E+03 8.059227E+03
2.094881E+04 8.010614E+03 7.838756E+03 7.437403E+03 8.052469E+03
2.099873E+04 8.004458E+03 7.835907E+03 7.436543E+03 8.050826E+03
2.104864E+04 7.998797E+03 7.833062E+03 7.437087E+03 8.047110E+03
2.109856E+04 7.994856E+03 7.828612E+03 7.434434E+03 8.041377E+03
