#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    3.540638E+04   1.0000E-099   1.0000E+000   2.4822E-011   1.5179E-021   1.6980E-032   6.4690E-044
    3.635490E+04   1.0000E-099   1.0000E+000   2.2752E-011   1.5378E-021   1.5742E-032   6.6623E-044
    3.731507E+04   1.0000E-099   1.0000E+000   2.1548E-011   1.5572E-021   1.5082E-032   6.8502E-044
    3.829161E+04   1.0000E-099   1.0000E+000   1.8895E-011   1.5758E-021   1.3378E-032   7.0300E-044
    3.929136E+04   1.0000E-099   1.0000E+000   1.8666E-011   1.5952E-021   1.3373E-032   7.2167E-044
    3.968816E+04   1.0000E-099   1.0000E+000   1.9366E-011   1.6332E-021   1.3880E-032   7.3806E-044
    3.995269E+04   1.0000E-099   1.0000E+000   2.0052E-011   1.6664E-021   1.4353E-032   7.5045E-044
    4.012905E+04   1.0000E-099   1.0000E+000   2.0185E-011   1.6539E-021   1.4433E-032   7.4189E-044
    4.024662E+04   1.0000E-099   1.0000E+000   1.9997E-011   1.6194E-021   1.4291E-032   7.2404E-044
    4.032422E+04   1.0000E-099   1.0000E+000   1.6785E-011   8.0122E-022   6.0612E-033   2.3358E-044
    4.032500E+04   1.0000E-099   1.0000E+000   1.6633E-011   7.7141E-022   5.7844E-033   2.1975E-044
#TIME:     2.002
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    1.025000E+03   1.0000E-099   2.8920E-030   1.6845E-021   3.1394E-013   8.5291E-006   9.9999E-001
    1.041817E+03   1.0000E-099   2.8272E-030   1.6561E-021   3.1039E-013   8.4808E-006   9.9999E-001
    1.075450E+03   1.0000E-099   2.7834E-030   1.6421E-021   3.0944E-013   8.4754E-006   9.9999E-001
    1.142716E+03   1.0000E-099   2.8649E-030   1.6988E-021   3.1930E-013   8.6371E-006   9.9999E-001
    1.252484E+03   1.0000E-099   3.1373E-030   1.8637E-021   3.4522E-013   9.0371E-006   9.9999E-001
    1.372656E+03   1.0000E-099   3.5239E-030   2.0919E-021   3.7984E-013   9.5484E-006   9.9999E-001
    1.504364E+03   1.0000E-099   4.0746E-030   2.4102E-021   4.2651E-013   1.0204E-005   9.9999E-001
    1.648709E+03   1.0000E-099   4.9051E-030   2.8780E-021   4.9234E-013   1.1076E-005   9.9999E-001
    1.806905E+03   1.0000E-099   6.2609E-030   3.6175E-021   5.9109E-013   1.2287E-005   9.9999E-001
