#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    3.995269E+04   1.0000E-099   1.0000E+000   3.4051E-010   2.8979E-021   3.6828E-032   5.1804E-043
    4.012905E+04   1.0000E-099   1.0000E+000   3.3609E-010   2.8769E-021   3.6329E-032   5.1297E-043
    4.024662E+04   1.0000E-099   1.0000E+000   3.2697E-010   2.8157E-021   3.5322E-032   5.0099E-043
    4.032422E+04   1.0000E-099   1.0000E+000   1.6609E-010   1.3539E-021   9.4167E-033   1.4872E-043
    4.032500E+04   1.0000E-099   1.0000E+000   1.6017E-010   1.3015E-021   8.7760E-033   1.3923E-043
#TIME:     2.002
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.025000E+03   1.0000E-099   6.5818E-031   6.9373E-022   9.9160E-014   2.7870E-006   1.0000E+000
    1.041817E+03   1.0000E-099   6.4342E-031   6.8204E-022   9.8040E-014   2.7712E-006   1.0000E+000
    1.075450E+03   1.0000E-099   6.3362E-031   6.7623E-022   9.7763E-014   2.7692E-006   1.0000E+000
    1.142716E+03   1.0000E-099   6.5232E-031   6.9887E-022   1.0092E-013   2.8205E-006   1.0000E+000
    1.252484E+03   1.0000E-099   7.1444E-031   7.6477E-022   1.0916E-013   2.9475E-006   1.0000E+000
    1.372656E+03   1.0000E-099   8.0249E-031   8.5585E-022   1.2015E-013   3.1102E-006   1.0000E+000
    1.504364E+03   1.0000E-099   9.2793E-031   9.8266E-022   1.3497E-013   3.3192E-006   1.0000E+000
    1.648709E+03   1.0000E-099   1.1172E-030   1.1687E-021   1.5588E-013   3.5971E-006   1.0000E+000
    1.806905E+03   1.0000E-099   1.4261E-030   1.4620E-021   1.8725E-013   3.9841E-006   1.0000E+000
