#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
14375.00 6.9500e-04 8.1758e-01 1.7739e-01 4.3334e-03
14625.00 6.5892e-04 8.1290e-01 1.8177e-01 4.6664e-03
14875.00 7.3622e-04 8.1206e-01 1.8261e-01 4.5971e-03
15125.00 8.8838e-04 7.9318e-01 2.0024e-01 5.6888e-03
15375.00 8.2168e-04 7.8219e-01 2.1081e-01 6.1815e-03
15625.00 7.2267e-04 7.8781e-01 2.0521e-01 6.2605e-03
15875.00 7.1564e-04 7.6741e-01 2.0169e-01 3.0185e-02
16125.00 5.7300e-04 7.6842e-01 2.2396e-01 7.0476e-03
16375.00 5.0563e-04 7.5319e-01 2.3848e-01 7.8252e-03
16625.00 4.7036e-04 7.1614e-01 2.7354e-01 9.8407e-03
16875.00 5.7494e-04 7.3697e-01 2.2282e-01 3.9641e-02
17125.00 8.3219e-04 6.7018e-01 3.1753e-01 1.1455e-02
17375.00 7.4581e-04 7.0114e-01 2.8666e-01 1.1448e-02
17625.00 6.5363e-04 7.3415e-01 2.5423e-01 1.0970e-02
17875.00 7.4325e-04 7.1011e-01 2.7705e-01 1.2093e-02
18125.00 5.6153e-04 6.4885e-01 3.3621e-01 1.4375e-02
18375.00 8.3995e-04 6.4670e-01 3.1015e-01 4.2319e-02
18625.00 7.1701e-04 6.7733e-01 2.7650e-01 4.5451e-02
18875.00 9.8336e-04 5.7471e-01 3.8066e-01 4.3646e-02
19125.00 6.8941e-04 6.4614e-01 2.9995e-01 5.3222e-02
19375.00 6.1601e-04 6.5210e-01 2.9197e-01 5.5310e-02
19625.00 7.7682e-04 5.4184e-01 4.0358e-01 5.3810e-02
19875.00 5.6894e-04 6.0321e-01 3.3911e-01 5.7110e-02
20125.00 3.6657e-04 6.4195e-01 3.3496e-01 2.2723e-02
20375.00 3.0962e-04 5.9588e-01 3.3354e-01 7.0269e-02
20625.00 5.4497e-04 6.5272e-01 2.9304e-01 5.3690e-02
20875.00 4.5729e-04 4.9046e-01 4.3597e-01 7.3113e-02
21125.00 5.3918e-04 5.9565e-01 3.3668e-01 6.7130e-02
21375.00 6.4670e-04 6.2497e-01 3.1418e-01 6.0203e-02
21625.00 6.0971e-04 5.7154e-01 3.5328e-01 7.4568e-02
21875.00 5.6516e-04 5.1591e-01 4.5041e-01 3.3116e-02
22125.00 4.1701e-04 4.7060e-01 4.8749e-01 4.1492e-02
22375.00 5.5172e-04 6.0184e-01 3.6298e-01 3.4622e-02
22625.00 3.4842e-04 4.4136e-01 4.6714e-01 9.1148e-02
22875.00 4.2389e-04 5.2934e-01 3.9707e-01 7.3159e-02
23125.00 4.6206e-04 4.3334e-01 4.7355e-01 9.2648e-02
23375.00 5.6059e-04 5.7087e-01 3.8877e-01 3.9800e-02
23625.00 3.4565e-04 5.4600e-01 4.0832e-01 4.5331e-02
23875.00 2.3207e-04 3.3618e-01 5.1463e-01 1.4896e-01
24125.00 3.0649e-04 3.5851e-01 5.0739e-01 1.3379e-01
24375.00 3.8753e-04 3.7891e-01 5.0400e-01 1.1670e-01
24625.00 3.1097e-04 4.6157e-01 4.6540e-01 7.2716e-02
24875.00 4.7084e-04 4.4967e-01 4.7596e-01 7.3894e-02
25125.00 4.3413e-04 4.4368e-01 4.7645e-01 7.9433e-02
25375.00 4.2893e-04 4.5088e-01 4.7492e-01 7.3769e-02
25625.00 3.0022e-04 3.4232e-01 5.2203e-01 1.3535e-01
