#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           na0           na1
    1.634952E+04   8.9679E-006   9.9999E-001
    1.648696E+04   1.0690E-005   9.9999E-001
    1.659878E+04   1.1628E-005   9.9999E-001
    1.669545E+04   1.1849E-005   9.9999E-001
    1.678508E+04   1.1088E-005   9.9999E-001
    1.687250E+04   1.0299E-005   9.9999E-001
    1.696111E+04   9.8205E-006   9.9999E-001
    1.705636E+04   9.6429E-006   9.9999E-001
    1.716416E+04   9.7359E-006   9.9999E-001
    1.730537E+04   1.0178E-005   9.9999E-001
    1.760745E+04   1.1945E-005   9.9999E-001
    1.821538E+04   2.0721E-005   9.9998E-001
    1.893451E+04   4.1869E-005   9.9996E-001
    1.971244E+04   8.2051E-005   9.9992E-001
    2.054375E+04   1.4474E-004   9.9986E-001
    2.140728E+04   2.5914E-004   9.9974E-001
    2.226561E+04   4.1075E-004   9.9959E-001
    2.313428E+04   5.7546E-004   9.9942E-001
    2.404497E+04   7.5519E-004   9.9924E-001
    2.500523E+04   9.3731E-004   9.9906E-001
    2.604263E+04   9.8520E-004   9.9901E-001
    2.724271E+04   7.9306E-004   9.9921E-001
    2.880103E+04   6.1449E-004   9.9939E-001
    3.057189E+04   6.6481E-004   9.9934E-001
    3.239972E+04   7.6073E-004   9.9924E-001
    3.417455E+04   7.8352E-004   9.9922E-001
    3.587716E+04   8.3318E-004   9.9917E-001
    3.749452E+04   8.1624E-004   9.9918E-001
    3.901907E+04   8.1273E-004   9.9919E-001
    4.041392E+04   8.5979E-004   9.9914E-001
    4.166067E+04   8.6585E-004   9.9913E-001
    4.282033E+04   8.0631E-004   9.9919E-001
    4.393802E+04   7.1153E-004   9.9929E-001
    4.506444E+04   6.1460E-004   9.9939E-001
    4.621047E+04   5.3319E-004   9.9947E-001
    4.737662E+04   4.5982E-004   9.9954E-001
    4.855943E+04   3.9199E-004   9.9961E-001
    4.976293E+04   3.3073E-004   9.9967E-001
    5.099069E+04   2.7644E-004   9.9972E-001
    5.224631E+04   2.2861E-004   9.9977E-001
    5.353171E+04   1.8673E-004   9.9981E-001
    5.484612E+04   1.5106E-004   9.9985E-001
    5.618687E+04   1.2123E-004   9.9988E-001
    5.754538E+04   9.7132E-005   9.9990E-001
    5.891516E+04   7.7720E-005   9.9992E-001
    6.027894E+04   6.2274E-005   9.9994E-001
    6.162742E+04   4.9918E-005   9.9995E-001
    6.293850E+04   4.0126E-005   9.9996E-001
    6.419616E+04   3.2322E-005   9.9997E-001
    6.537984E+04   2.6188E-005   9.9997E-001
    6.646444E+04   2.1538E-005   9.9998E-001
    6.743912E+04   1.8128E-005   9.9998E-001
    6.827867E+04   1.5715E-005   9.9998E-001
    6.898947E+04   1.4015E-005   9.9999E-001
    6.955800E+04   1.2839E-005   9.9999E-001
    6.978577E+04   1.2387E-005   9.9999E-001
    6.989993E+04   1.2139E-005   9.9999E-001
    6.995708E+04   1.1966E-005   9.9999E-001
    6.998567E+04   1.1846E-005   9.9999E-001
    6.999926E+04   1.1734E-005   9.9999E-001
    6.999997E+04   1.1717E-005   9.9999E-001
#TIME:     0.806
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.772128E+02   4.1443E-006   1.0000E+000
    8.817035E+02   4.1443E-006   1.0000E+000
    8.953142E+02   4.1443E-006   1.0000E+000
