#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
3084.17 3.18e-27 1.93e-19 3.69e-12 5.16e-06 1.47e-02 7.13e-01 2.72e-01 
3272.56 1.72e-27 1.18e-19 2.70e-12 4.30e-06 1.35e-02 7.05e-01 2.81e-01 
3472.46 1.22e-27 9.30e-20 2.40e-12 4.18e-06 1.36e-02 7.19e-01 2.68e-01 
3684.57 8.29e-28 7.01e-20 2.03e-12 3.86e-06 1.33e-02 7.31e-01 2.55e-01 
3909.64 4.97e-28 4.76e-20 1.58e-12 3.37e-06 1.25e-02 7.44e-01 2.44e-01 
4148.46 4.67e-28 4.81e-20 1.71e-12 3.74e-06 1.35e-02 7.68e-01 2.19e-01 
4401.86 8.74e-28 8.72e-20 2.98e-12 5.94e-06 1.79e-02 8.13e-01 1.69e-01 
4670.75 1.73e-27 1.68e-19 5.22e-12 9.42e-06 2.41e-02 8.50e-01 1.25e-01 
4956.05 1.59e-27 1.70e-19 5.86e-12 1.10e-05 2.69e-02 8.63e-01 1.10e-01 
5258.79 1.27e-27 1.54e-19 6.02e-12 1.20e-05 2.91e-02 8.74e-01 9.71e-02 
5580.02 1.90e-27 2.36e-19 8.84e-12 1.70e-05 3.71e-02 8.91e-01 7.16e-02 
5920.87 2.25e-27 2.97e-19 1.18e-11 2.24e-05 4.41e-02 8.97e-01 5.87e-02 
6282.54 2.93e-27 4.12e-19 1.72e-11 3.20e-05 5.54e-02 9.04e-01 4.09e-02 
6666.30 5.33e-27 7.56e-19 2.99e-11 5.11e-05 7.36e-02 9.00e-01 2.67e-02 
7073.50 1.11e-26 1.56e-18 5.67e-11 8.69e-05 1.03e-01 8.82e-01 1.53e-02 
7505.58 1.71e-26 2.56e-18 9.89e-11 1.41e-04 1.34e-01 8.57e-01 8.92e-03 
7964.05 4.78e-26 7.40e-18 2.78e-10 3.33e-04 2.16e-01 7.80e-01 3.38e-03 
8450.53 3.16e-25 4.72e-17 1.54e-09 1.32e-03 4.22e-01 5.76e-01 6.57e-04 
8966.72 1.67e-24 2.41e-16 6.73e-09 4.02e-03 6.53e-01 3.43e-01 1.11e-04 
9514.44 1.33e-23 1.81e-15 4.00e-08 1.39e-02 8.68e-01 1.18e-01 5.67e-06 
10095.62 2.44e-22 2.93e-14 4.35e-07 6.53e-02 9.19e-01 1.54e-02 4.41e-08 
10712.30 9.09e-21 9.29e-13 7.70e-06 3.63e-01 6.37e-01 5.78e-04 3.46e-11 
11366.65 2.61e-19 2.27e-11 9.10e-05 9.07e-01 9.27e-02 1.61e-06 2.03e-16 
12061.10 6.58e-18 5.06e-10 8.11e-04 9.97e-01 2.00e-03 7.35e-11 6.60e-24 
12793.43 3.12e-16 2.02e-08 1.07e-02 9.89e-01 1.73e-05 7.09e-16 4.75e-33 
13528.61 3.93e-14 1.79e-06 2.15e-01 7.85e-01 3.31e-08 4.03e-22 9.30e-39 
14194.74 9.53e-13 3.15e-05 8.71e-01 1.29e-01 1.08e-11 2.68e-29 5.43e-39 
14757.77 6.37e-12 1.41e-04 9.91e-01 8.64e-03 2.94e-15 2.76e-37 7.98e-39 
15240.48 3.91e-11 5.12e-04 9.99e-01 6.84e-04 2.17e-18 7.07e-38 1.04e-38 
15646.99 2.99e-10 1.94e-03 9.98e-01 7.03e-05 3.87e-21 8.43e-38 1.27e-38 
