#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
4148.46 4.08e-29 1.59e-21 7.83e-14 1.14e-06 1.00e+00 
4401.86 5.28e-29 2.04e-21 9.74e-14 1.31e-06 1.00e+00 
4670.75 6.45e-29 2.51e-21 1.19e-13 1.50e-06 1.00e+00 
4956.05 5.62e-29 2.38e-21 1.20e-13 1.56e-06 1.00e+00 
5258.79 4.05e-29 1.94e-21 1.09e-13 1.52e-06 1.00e+00 
5580.02 3.99e-29 2.03e-21 1.20e-13 1.65e-06 1.00e+00 
5920.87 4.33e-29 2.29e-21 1.38e-13 1.84e-06 1.00e+00 
6282.54 4.25e-29 2.43e-21 1.54e-13 2.03e-06 1.00e+00 
6666.30 5.42e-29 3.19e-21 2.02e-13 2.44e-06 1.00e+00 
7073.50 7.36e-29 4.48e-21 2.83e-13 3.06e-06 1.00e+00 
7505.58 1.08e-28 6.88e-21 4.36e-13 4.10e-06 1.00e+00 
7964.05 1.97e-28 1.32e-20 8.24e-13 6.22e-06 1.00e+00 
8450.53 5.39e-28 3.67e-20 2.11e-12 1.13e-05 1.00e+00 
8966.72 1.86e-27 1.27e-19 6.46e-12 2.25e-05 1.00e+00 
9514.44 1.11e-26 7.57e-19 3.16e-11 5.93e-05 1.00e+00 
10095.62 1.97e-25 1.26e-17 3.58e-10 2.54e-04 1.00e+00 
10712.30 6.74e-24 4.32e-16 7.72e-09 1.60e-03 9.98e-01 
11366.65 1.15e-21 7.24e-14 6.14e-07 2.13e-02 9.79e-01 
12061.10 5.99e-19 4.02e-11 1.27e-04 4.09e-01 5.91e-01 
12793.43 8.08e-17 5.32e-09 4.98e-03 9.69e-01 2.63e-02 
13528.61 1.69e-14 8.53e-07 1.56e-01 8.44e-01 1.71e-04 
14194.74 7.09e-13 2.49e-05 8.85e-01 1.15e-01 1.17e-07 
