#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    2.450254E+03   1.0000E-099   1.3011E-014   2.4763E-006   1.0000E+000
    2.600920E+03   1.0000E-099   8.6567E-015   2.1349E-006   1.0000E+000
    2.760850E+03   1.0000E-099   6.5252E-015   1.9197E-006   1.0000E+000
    2.930615E+03   1.0000E-099   5.1450E-015   1.7427E-006   1.0000E+000
    3.110818E+03   1.0000E-099   4.0864E-015   1.5601E-006   1.0000E+000
    3.302102E+03   1.0000E-099   3.3975E-015   1.4031E-006   1.0000E+000
    3.505148E+03   1.0000E-099   2.9359E-015   1.2697E-006   1.0000E+000
    3.720679E+03   1.0000E-099   2.5259E-015   1.1343E-006   1.0000E+000
    3.949463E+03   1.0000E-099   2.0711E-015   9.7671E-007   1.0000E+000
    4.192316E+03   1.0000E-099   1.9618E-015   9.0783E-007   1.0000E+000
    4.450101E+03   1.0000E-099   2.0545E-015   9.2065E-007   1.0000E+000
    4.723737E+03   1.0000E-099   1.7869E-015   8.7613E-007   1.0000E+000
    5.014199E+03   1.0000E-099   1.2780E-015   7.4802E-007   1.0000E+000
    5.322522E+03   1.0000E-099   1.0368E-015   6.7828E-007   1.0000E+000
    5.649804E+03   1.0000E-099   9.4827E-016   6.4832E-007   1.0000E+000
    5.997210E+03   1.0000E-099   8.7955E-016   6.1696E-007   1.0000E+000
    6.365978E+03   1.0000E-099   8.1644E-016   5.8374E-007   1.0000E+000
    6.757421E+03   1.0000E-099   7.8637E-016   5.6395E-007   1.0000E+000
    7.172935E+03   1.0000E-099   7.5399E-016   5.4021E-007   1.0000E+000
    7.613998E+03   1.0000E-099   6.8960E-016   4.9702E-007   1.0000E+000
    8.082182E+03   1.0000E-099   6.5848E-016   4.6671E-007   1.0000E+000
    8.579155E+03   1.0000E-099   6.7345E-016   4.5374E-007   1.0000E+000
    9.106686E+03   1.0000E-099   7.0889E-016   4.3686E-007   1.0000E+000
    9.666656E+03   1.0000E-099   8.3710E-016   4.3093E-007   1.0000E+000
    1.026106E+04   1.0000E-099   1.2138E-015   4.5588E-007   1.0000E+000
