#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
3909.64 8.51e-30 1.05e-21 8.68e-14 1.28e-06 2.64e-02 8.15e-01 1.59e-01 
4148.46 7.97e-30 1.33e-21 1.16e-13 1.76e-06 3.12e-02 8.34e-01 1.35e-01 
4401.86 2.66e-29 2.81e-21 2.33e-13 3.21e-06 4.35e-02 8.59e-01 9.72e-02 
4670.75 5.81e-29 5.41e-21 4.35e-13 5.67e-06 6.07e-02 8.72e-01 6.76e-02 
4956.05 6.15e-29 6.34e-21 5.52e-13 7.41e-06 7.06e-02 8.73e-01 5.60e-02 
5258.79 5.58e-29 6.57e-21 6.32e-13 8.93e-06 7.93e-02 8.73e-01 4.78e-02 
5580.02 8.23e-29 9.83e-21 9.76e-13 1.39e-05 1.04e-01 8.63e-01 3.32e-02 
5920.87 1.12e-28 1.41e-20 1.45e-12 2.04e-05 1.27e-01 8.48e-01 2.51e-02 
6282.54 1.76e-28 2.35e-20 2.51e-12 3.44e-05 1.68e-01 8.16e-01 1.61e-02 
6666.30 3.49e-28 4.67e-20 4.97e-12 6.47e-05 2.31e-01 7.59e-01 9.27e-03 
7073.50 8.09e-28 1.07e-19 1.12e-11 1.37e-04 3.32e-01 6.63e-01 4.34e-03 
7505.58 1.74e-27 2.44e-19 2.59e-11 2.92e-04 4.46e-01 5.52e-01 1.95e-03 
7964.05 5.79e-27 8.34e-19 8.70e-11 8.37e-04 6.43e-01 3.55e-01 4.54e-04 
8450.53 3.35e-26 4.62e-18 4.37e-10 3.10e-03 8.59e-01 1.38e-01 3.76e-05 
8966.72 1.76e-25 2.33e-17 1.98e-09 1.02e-02 9.46e-01 4.41e-02 2.48e-06 
9514.44 1.74e-24 2.13e-16 1.51e-08 4.86e-02 9.44e-01 7.21e-03 4.45e-08 
10095.62 3.89e-23 4.12e-15 2.14e-07 3.29e-01 6.70e-01 3.41e-04 6.48e-11 
10712.30 5.20e-22 4.56e-14 1.58e-06 9.10e-01 8.99e-02 1.27e-06 3.23e-15 
11366.65 4.47e-21 3.23e-13 6.47e-06 9.99e-01 1.45e-03 7.06e-11 4.23e-22 
12061.10 6.11e-20 3.78e-12 3.80e-05 1.00e+00 4.46e-06 1.39e-16 1.05e-28 
12793.43 1.60e-18 8.09e-11 3.52e-04 1.00e+00 6.14e-09 5.58e-23 1.23e-29 
13528.61 1.10e-16 3.88e-09 5.25e-03 9.95e-01 1.94e-12 1.44e-29 8.92e-31 
14194.74 5.70e-15 1.50e-07 6.57e-02 9.34e-01 3.69e-16 4.78e-31 3.53e-32 
14757.77 1.48e-13 2.68e-06 4.07e-01 5.93e-01 8.97e-20 2.41e-32 1.49e-32 
15240.48 1.38e-12 1.55e-05 8.41e-01 1.59e-01 5.23e-23 1.54e-32 9.85e-33 
15646.99 8.96e-12 5.32e-05 9.76e-01 2.39e-02 2.82e-25 9.74e-33 6.34e-33 
15960.30 5.96e-11 1.65e-04 9.93e-01 7.28e-03 1.09e-25 6.11e-33 4.03e-33 
16187.41 2.36e-10 3.98e-04 9.98e-01 1.15e-03 3.80e-26 5.32e-33 3.55e-33 
