#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
15646.99 4.58e-09 1.00e+00 7.53e-12 5.87e-26 1.08e-26 
15960.30 8.96e-09 1.00e+00 2.70e-13 1.95e-26 4.03e-27 
16187.41 1.27e-08 1.00e+00 1.68e-14 1.32e-26 1.95e-27 
16354.17 1.82e-08 1.00e+00 8.98e-16 6.24e-27 7.23e-28 
16484.18 1.99e-08 1.00e+00 1.44e-16 5.77e-27 6.71e-28 
16593.12 2.08e-08 1.00e+00 2.45e-17 5.39e-27 6.91e-28 
16691.99 1.85e-08 1.00e+00 1.20e-17 2.03e-26 3.98e-27 
16788.59 1.96e-08 1.00e+00 2.31e-18 1.09e-26 1.99e-27 
16888.37 2.08e-08 1.00e+00 7.08e-19 1.19e-26 1.04e-27 
16998.79 2.41e-08 1.00e+00 1.08e-19 1.22e-26 2.65e-27 
17146.37 2.93e-08 1.00e+00 1.76e-20 5.66e-27 6.00e-28 
17415.23 3.27e-08 1.00e+00 8.93e-22 4.97e-27 3.15e-28 
17888.12 3.99e-08 1.00e+00 7.63e-24 1.68e-27 1.18e-28 
18532.37 6.14e-08 1.00e+00 2.76e-26 3.80e-28 2.03e-29 
19260.76 7.06e-08 1.00e+00 9.74e-27 2.20e-28 1.03e-29 
20034.10 7.08e-08 1.00e+00 8.33e-27 1.34e-28 4.14e-30 
20838.00 7.51e-08 1.00e+00 7.20e-27 1.05e-28 2.41e-30 
21647.97 8.56e-08 1.00e+00 6.30e-27 9.61e-29 2.08e-30 
22447.94 9.55e-08 1.00e+00 6.59e-27 8.48e-29 1.62e-30 
23245.88 1.20e-07 1.00e+00 6.77e-27 8.46e-29 1.13e-30 
24052.47 1.37e-07 1.00e+00 6.55e-27 7.25e-29 1.06e-30 
24867.72 1.72e-07 1.00e+00 5.91e-27 6.09e-29 5.29e-31 
25698.86 1.80e-07 1.00e+00 6.41e-27 6.23e-29 7.06e-31 
26587.16 2.15e-07 1.00e+00 6.41e-27 5.11e-29 4.10e-31 
27637.54 1.71e-07 1.00e+00 9.22e-27 8.11e-29 1.75e-31 
28986.97 1.46e-07 1.00e+00 1.55e-26 1.50e-28 6.26e-32 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 2.15e-12 2.42e-04 8.43e-01 1.56e-01 3.43e-06 
999.11 1.96e-13 2.11e-05 4.09e-01 5.90e-01 1.95e-04 
1267.34 7.40e-15 9.54e-07 8.38e-02 9.13e-01 3.40e-03 
1514.05 6.81e-16 9.42e-08 2.20e-02 9.60e-01 1.79e-02 
1808.80 8.71e-17 1.34e-08 6.91e-03 9.29e-01 6.43e-02 
1919.29 1.69e-17 2.69e-09 2.42e-03 8.11e-01 1.86e-01 
2160.92 3.65e-18 5.32e-10 8.24e-04 6.32e-01 3.67e-01 
2292.92 5.20e-19 8.81e-11 2.17e-04 3.91e-01 6.09e-01 
2432.98 2.70e-19 4.55e-11 1.37e-04 3.24e-01 6.76e-01 
2581.60 1.34e-19 2.40e-11 8.90e-05 2.73e-01 7.27e-01 
2739.29 8.54e-20 1.49e-11 6.34e-05 2.31e-01 7.69e-01 
2906.62 6.13e-20 1.11e-11 5.22e-05 2.13e-01 7.87e-01 
3084.17 4.87e-20 9.36e-12 4.71e-05 2.07e-01 7.93e-01 
3272.56 4.01e-20 8.19e-12 4.38e-05 2.04e-01 7.96e-01 
3472.46 4.41e-20 9.44e-12 4.98e-05 2.21e-01 7.79e-01 
3684.57 5.13e-20 1.13e-11 5.78e-05 2.41e-01 7.58e-01 
3909.64 5.25e-20 1.27e-11 6.44e-05 2.60e-01 7.40e-01 
4148.46 7.40e-20 1.86e-11 8.63e-05 3.03e-01 6.97e-01 
4401.86 1.38e-19 3.44e-11 1.36e-04 3.77e-01 6.23e-01 
4670.75 2.41e-19 6.08e-11 2.06e-04 4.51e-01 5.48e-01 
4956.05 2.93e-19 7.96e-11 2.58e-04 5.03e-01 4.97e-01 
5258.79 2.91e-19 8.99e-11 2.93e-04 5.39e-01 4.61e-01 
5580.02 4.07e-19 1.34e-10 3.97e-04 6.03e-01 3.97e-01 
5920.87 6.02e-19 2.05e-10 5.41e-04 6.72e-01 3.28e-01 
6282.54 8.71e-19 3.21e-10 7.49e-04 7.46e-01 2.53e-01 
6666.30 1.56e-18 5.91e-10 1.13e-03 8.18e-01 1.81e-01 
7073.50 3.05e-18 1.18e-09 1.75e-03 8.81e-01 1.18e-01 
7505.58 6.56e-18 2.62e-09 2.89e-03 9.33e-01 6.36e-02 
7964.05 1.98e-17 8.22e-09 5.91e-03 9.69e-01 2.49e-02 
8450.53 1.01e-16 4.23e-08 1.61e-02 9.77e-01 6.46e-03 
8966.72 5.89e-16 2.43e-07 4.58e-02 9.53e-01 1.49e-03 
9514.44 6.03e-15 2.46e-06 1.74e-01 8.26e-01 1.72e-04 
10095.62 1.13e-13 4.29e-05 6.64e-01 3.36e-01 4.93e-06 
10712.30 1.19e-12 4.58e-04 9.73e-01 2.61e-02 2.64e-09 
11366.65 1.95e-11 7.42e-03 9.92e-01 4.77e-04 1.31e-13 
12061.10 5.21e-10 2.23e-01 7.77e-01 5.31e-07 2.08e-20 
12793.43 2.00e-09 9.50e-01 5.03e-02 5.37e-11 2.44e-24 
13528.61 2.08e-09 1.00e+00 2.08e-04 7.31e-17 2.88e-25 
14194.74 1.98e-09 1.00e+00 9.11e-07 6.30e-23 5.42e-26 
