#NTIMES:    57
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    9.884725E+03   9.1479E-028   3.9244E-018   1.4917E-010   1.3354E-004   3.4125E-001   6.5861E-001
    1.001128E+04   6.3885E-027   2.2665E-017   7.1660E-010   4.2819E-004   5.6071E-001   4.3887E-001
    1.013294E+04   3.9644E-026   1.1571E-016   3.0119E-009   1.1772E-003   7.6557E-001   2.3325E-001
    1.025192E+04   2.2979E-025   5.4865E-016   1.1617E-008   2.8933E-003   8.9654E-001   1.0057E-001
    1.036523E+04   1.2548E-024   2.4554E-015   4.2072E-008   6.5957E-003   9.5499E-001   3.8413E-002
    1.047433E+04   6.8692E-024   1.1021E-014   1.5168E-007   1.4731E-002   9.7173E-001   1.3541E-002
    1.058087E+04   3.9441E-023   5.1741E-014   5.6519E-007   3.3221E-002   9.6236E-001   4.4209E-003
    1.068358E+04   2.3471E-022   2.5140E-013   2.1545E-006   7.5049E-002   9.2361E-001   1.3374E-003
    1.078178E+04   1.4125E-021   1.2347E-012   8.2027E-006   1.6554E-001   8.3409E-001   3.6188E-004
    1.087424E+04   7.9845E-021   5.7147E-012   2.9154E-005   3.3411E-001   6.6578E-001   8.2430E-005
    1.096142E+04   3.8720E-020   2.2835E-011   8.8814E-005   5.6763E-001   4.3226E-001   1.4539E-005
    1.104427E+04   1.5221E-019   7.4696E-011   2.2097E-004   7.7880E-001   2.2098E-001   1.9436E-006
    1.116962E+04   9.5236E-019   3.5794E-010   6.8953E-004   9.4437E-001   5.4942E-002   5.5718E-008
    1.128592E+04   5.2693E-018   1.5339E-009   1.8965E-003   9.8684E-001   1.1260E-002   1.2381E-009
    1.138719E+04   2.9324E-017   6.5450E-009   5.0639E-003   9.9271E-001   2.2234E-003   2.6854E-011
    1.148357E+04   1.9915E-016   3.2915E-008   1.4857E-002   9.8478E-001   3.6472E-004   3.8747E-013
    1.157588E+04   1.6191E-015   1.9390E-007   4.7899E-002   9.5205E-001   4.7102E-005   3.3023E-015
    1.165789E+04   1.2590E-014   1.1099E-006   1.4838E-001   8.5161E-001   5.1137E-006   2.0631E-017
    1.172968E+04   7.7230E-014   5.1472E-006   3.7592E-001   6.2408E-001   4.4042E-007   9.7258E-020
    1.179602E+04   3.3149E-013   1.6896E-005   6.7456E-001   3.2543E-001   2.6657E-008   3.4252E-022
    1.185624E+04   1.0168E-012   3.9405E-005   8.7010E-001   1.2987E-001   1.3882E-009   1.1997E-023
    1.191139E+04   2.6690E-012   7.7783E-005   9.5391E-001   4.6011E-002   6.9924E-011   3.9384E-024
    1.196310E+04   6.6674E-012   1.4515E-004   9.8438E-001   1.5471E-002   3.3872E-012   1.3210E-024
    1.200903E+04   1.5600E-011   2.5750E-004   9.9433E-001   5.4101E-003   1.8814E-013   4.5946E-025
    1.204957E+04   3.4289E-011   4.3782E-004   9.9755E-001   2.0097E-003   1.2367E-014   1.7006E-025
    1.208724E+04   7.3216E-011   7.3099E-004   9.9850E-001   7.6541E-004   8.6571E-016   6.4849E-026
    1.211780E+04   1.3720E-010   1.1192E-003   9.9854E-001   3.4113E-004   9.2752E-017   2.9097E-026
