#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
25750.00 8.80e-07 9.95e-01 4.79e-03 2.33e-19 1.99e-30 
26250.00 7.51e-07 9.96e-01 3.53e-03 7.44e-20 3.32e-30 
26750.00 9.25e-07 9.97e-01 2.68e-03 2.45e-20 2.93e-30 
27250.00 8.45e-07 9.98e-01 2.23e-03 3.26e-20 1.72e-29 
27750.00 9.38e-07 9.99e-01 1.31e-03 1.82e-21 4.76e-31 
28250.00 8.96e-07 9.99e-01 1.01e-03 7.93e-22 2.54e-31 
28750.00 8.08e-07 9.99e-01 8.12e-04 3.77e-22 3.84e-30 
29250.00 7.70e-07 9.99e-01 6.93e-04 1.53e-22 5.50e-30 
29750.00 5.44e-07 9.99e-01 7.21e-04 5.50e-22 7.08e-29 
30250.00 7.07e-07 1.00e+00 4.60e-04 2.43e-23 1.70e-29 
30750.00 8.18e-07 1.00e+00 3.50e-04 9.04e-24 2.03e-29 
31250.00 7.02e-07 1.00e+00 3.08e-04 4.58e-24 1.65e-29 
31750.00 1.09e-06 1.00e+00 1.97e-04 9.06e-25 1.43e-29 
32250.00 7.41e-07 1.00e+00 1.66e-04 5.01e-25 1.07e-28 
32750.00 5.43e-07 1.00e+00 1.51e-04 3.16e-25 6.92e-28 
33250.00 7.89e-07 1.00e+00 1.15e-04 1.10e-25 5.04e-29 
33750.00 4.54e-07 1.00e+00 1.04e-04 8.21e-26 1.36e-27 
34250.00 8.89e-07 1.00e+00 6.46e-05 2.67e-26 3.18e-28 
34750.00 7.18e-07 1.00e+00 4.91e-05 2.93e-26 4.44e-28 
35250.00 1.66e-07 1.00e+00 1.04e-04 3.58e-25 6.53e-27 
35750.00 3.61e-06 1.00e+00 1.71e-05 2.73e-26 7.55e-28 
36250.00 2.24e-06 1.00e+00 1.38e-05 1.23e-26 2.14e-28 
36750.00 4.93e-06 1.00e+00 1.01e-05 2.28e-26 3.93e-28 
37250.00 7.94e-06 1.00e+00 7.09e-06 4.22e-26 1.61e-27 
