#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7
2.792500E+04 6.518382E-07 9.864356E-01 1.356376E-02 1.170657E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.797500E+04 6.459349E-07 9.864063E-01 1.359305E-02 1.172433E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.802500E+04 6.403960E-07 9.863950E-01 1.360436E-02 1.169631E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.807500E+04 6.372777E-07 9.864931E-01 1.350628E-02 1.142688E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.812500E+04 6.326621E-07 9.865265E-01 1.347290E-02 1.129413E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.817500E+04 6.296437E-07 9.866274E-01 1.337200E-02 1.102470E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.822500E+04 6.234953E-07 9.865863E-01 1.341307E-02 1.105480E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.827500E+04 6.167776E-07 9.865131E-01 1.348633E-02 1.115712E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.832500E+04 6.139379E-07 9.866215E-01 1.337790E-02 1.087152E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.837500E+04 6.081481E-07 9.865858E-01 1.341361E-02 1.089620E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.842500E+04 5.981964E-07 9.863452E-01 1.365417E-02 1.135518E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.847500E+04 5.956128E-07 9.864630E-01 1.353639E-02 1.104829E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.852500E+04 5.926501E-07 9.865626E-01 1.343682E-02 1.078274E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.857500E+04 5.848237E-07 9.864196E-01 1.357982E-02 1.102457E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.862500E+04 5.843712E-07 9.866360E-01 1.336346E-02 1.052889E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.867500E+04 5.777169E-07 9.865450E-01 1.345443E-02 1.066274E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.872500E+04 5.742117E-07 9.866113E-01 1.338813E-02 1.047365E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
